timestamp,weather,tem,weekday,holiday,dor,teab,cnt
2023/2/1 0:00,1,10,1,0,3,0,3
2023/2/1 0:10,1,10,1,0,3,2,5
2023/2/1 0:20,1,10,1,0,4,3,7
2023/2/1 0:30,1,10,1,0,2,1,3
2023/2/1 0:40,1,10,1,0,1,1,2
2023/2/1 0:50,1,10,1,0,1,0,1
2023/2/1 1:00,1,9,1,0,1,2,3
2023/2/1 1:10,1,9,1,0,0,1,1
2023/2/1 1:20,1,9,1,0,0,0,0
2023/2/1 1:30,1,9,1,0,0,2,2
2023/2/1 1:40,1,9,1,0,0,1,1
2023/2/1 1:50,1,9,1,0,2,2,4
2023/2/1 2:00,1,9,1,0,1,2,3
2023/2/1 2:10,1,9,1,0,2,1,3
2023/2/1 2:20,1,9,1,0,1,0,1
2023/2/1 2:30,1,9,1,0,1,0,1
2023/2/1 2:40,1,9,1,0,1,0,1
2023/2/1 2:50,1,9,1,0,2,0,2
2023/2/1 3:00,1,9,1,0,2,1,3
2023/2/1 3:10,1,9,1,0,2,0,2
2023/2/1 3:20,1,9,1,0,2,2,4
2023/2/1 3:30,1,9,1,0,1,1,2
2023/2/1 3:40,1,8,1,0,2,1,3
2023/2/1 3:50,1,8,1,0,0,2,2
2023/2/1 4:00,1,8,1,0,1,2,3
2023/2/1 4:10,1,8,1,0,0,1,1
2023/2/1 4:20,1,8,1,0,0,1,1
2023/2/1 4:30,1,8,1,0,1,2,3
2023/2/1 4:40,1,8,1,0,0,2,2
2023/2/1 4:50,1,8,1,0,2,2,4
2023/2/1 5:00,1,8,1,0,1,1,2
2023/2/1 5:10,1,9,1,0,1,1,2
2023/2/1 5:20,1,9,1,0,2,2,4
2023/2/1 5:30,1,9,1,0,3,2,5
2023/2/1 5:40,1,9,1,0,2,0,2
2023/2/1 5:50,1,9,1,0,4,0,4
2023/2/1 6:00,1,9,1,0,4,2,6
2023/2/1 6:10,1,9,1,0,3,1,4
2023/2/1 6:20,1,9,1,0,5,2,7
2023/2/1 6:30,1,9,1,0,4,4,8
2023/2/1 6:40,1,9,1,0,14,0,14
2023/2/1 6:50,1,9,1,0,34,0,34
2023/2/1 7:00,1,9,1,0,57,4,61
2023/2/1 7:10,1,9,1,0,101,2,103
2023/2/1 7:20,1,9,1,0,109,1,110
2023/2/1 7:30,1,10,1,0,304,1,305
2023/2/1 7:40,1,10,1,0,534,5,539
2023/2/1 7:50,1,10,1,0,623,5,628
2023/2/1 8:00,1,10,1,0,313,6,319
2023/2/1 8:10,1,10,1,0,127,8,135
2023/2/1 8:20,1,10,1,0,84,9,93
2023/2/1 8:30,1,10,1,0,92,14,106
2023/2/1 8:40,1,10,1,0,71,14,85
2023/2/1 8:50,1,10,1,0,84,13,97
2023/2/1 9:00,1,10,1,0,90,13,103
2023/2/1 9:10,1,10,1,0,75,17,92
2023/2/1 9:20,1,10,1,0,172,26,198
2023/2/1 9:30,1,11,1,0,243,42,285
2023/2/1 9:40,1,11,1,0,247,131,378
2023/2/1 9:50,1,11,1,0,173,151,324
2023/2/1 10:00,1,11,1,0,143,169,312
2023/2/1 10:10,1,11,1,0,85,101,186
2023/2/1 10:20,1,11,1,0,67,80,147
2023/2/1 10:30,1,11,1,0,68,53,121
2023/2/1 10:40,1,11,1,0,61,40,101
2023/2/1 10:50,1,12,1,0,66,37,103
2023/2/1 11:00,1,12,1,0,61,39,100
2023/2/1 11:10,1,12,1,0,56,40,96
2023/2/1 11:20,1,12,1,0,58,47,105
2023/2/1 11:30,1,12,1,0,62,70,132
2023/2/1 11:40,1,12,1,0,77,225,302
2023/2/1 11:50,1,12,1,0,69,287,356
2023/2/1 12:00,1,13,1,0,52,242,294
2023/2/1 12:10,1,13,1,0,61,174,235
2023/2/1 12:20,1,13,1,0,63,128,191
2023/2/1 12:30,1,13,1,0,38,84,122
2023/2/1 12:40,1,13,1,0,29,69,98
2023/2/1 12:50,1,13,1,0,20,50,70
2023/2/1 13:00,1,13,1,0,16,34,50
2023/2/1 13:10,1,13,1,0,11,20,31
2023/2/1 13:20,1,13,1,0,16,16,32
2023/2/1 13:30,1,13,1,0,21,17,38
2023/2/1 13:40,1,13,1,0,34,23,57
2023/2/1 13:50,1,13,1,0,27,24,51
2023/2/1 14:00,1,13,1,0,31,25,56
2023/2/1 14:10,1,13,1,0,22,22,44
2023/2/1 14:20,1,13,1,0,18,20,38
2023/2/1 14:30,1,13,1,0,18,22,40
2023/2/1 14:40,1,13,1,0,17,17,34
2023/2/1 14:50,1,13,1,0,19,15,34
2023/2/1 15:00,1,12,1,0,24,14,38
2023/2/1 15:10,1,12,1,0,32,17,49
2023/2/1 15:20,1,12,1,0,27,19,46
2023/2/1 15:30,1,12,1,0,30,18,48
2023/2/1 15:40,1,12,1,0,31,22,53
2023/2/1 15:50,1,12,1,0,29,18,47
2023/2/1 16:00,1,12,1,0,32,20,52
2023/2/1 16:10,1,12,1,0,26,18,44
2023/2/1 16:20,1,12,1,0,30,18,48
2023/2/1 16:30,1,12,1,0,37,13,50
2023/2/1 16:40,1,12,1,0,33,14,47
2023/2/1 16:50,1,11,1,0,41,18,59
2023/2/1 17:00,1,11,1,0,46,23,69
2023/2/1 17:10,1,11,1,0,37,22,59
2023/2/1 17:20,1,11,1,0,42,27,69
2023/2/1 17:30,1,11,1,0,38,30,68
2023/2/1 17:40,1,11,1,0,43,34,77
2023/2/1 17:50,1,10,1,0,49,43,92
2023/2/1 18:00,1,10,1,0,55,38,93
2023/2/1 18:10,1,10,1,0,58,36,94
2023/2/1 18:20,1,10,1,0,56,28,84
2023/2/1 18:30,1,10,1,0,46,36,82
2023/2/1 18:40,1,10,1,0,50,26,76
2023/2/1 18:50,1,9,1,0,50,33,83
2023/2/1 19:00,1,9,1,0,39,25,64
2023/2/1 19:10,1,9,1,0,34,24,58
2023/2/1 19:20,1,9,1,0,30,20,50
2023/2/1 19:30,1,9,1,0,31,25,56
2023/2/1 19:40,1,9,1,0,26,25,51
