timestamp,weather,tem,weekday,dor,teab,cnt
2023/4/14 0:00,1,20,1,3,2,5
2023/4/14 0:10,1,20,1,3,3,6
2023/4/14 0:20,1,20,1,5,2,7
2023/4/14 0:30,1,20,1,2,0,2
2023/4/14 0:40,1,20,1,1,3,4
2023/4/14 0:50,1,20,1,0,0,0
2023/4/14 1:00,1,20,1,3,2,5
2023/4/14 1:10,1,20,1,2,3,5
2023/4/14 1:20,1,20,1,1,3,4
2023/4/14 1:30,1,20,1,0,1,1
2023/4/14 1:40,1,20,1,1,2,3
2023/4/14 1:50,1,20,1,2,1,3
2023/4/14 2:00,1,20,1,2,1,3
2023/4/14 2:10,1,20,1,3,1,4
2023/4/14 2:20,1,20,1,2,0,2
2023/4/14 2:30,1,20,1,0,1,1
2023/4/14 2:40,1,20,1,2,1,3
2023/4/14 2:50,1,19,1,2,2,4
2023/4/14 3:00,1,19,1,0,3,3
2023/4/14 3:10,1,19,1,2,1,3
2023/4/14 3:20,1,19,1,2,2,4
2023/4/14 3:30,1,19,1,2,0,2
2023/4/14 3:40,1,19,1,1,0,1
2023/4/14 3:50,1,19,1,3,3,6
2023/4/14 4:00,1,19,1,3,2,5
2023/4/14 4:10,1,19,1,0,2,2
2023/4/14 4:20,1,19,1,0,1,1
2023/4/14 4:30,1,19,1,2,3,5
2023/4/14 4:40,1,19,1,0,1,1
2023/4/14 4:50,1,19,1,0,2,2
2023/4/14 5:00,1,19,1,3,0,3
2023/4/14 5:10,1,19,1,1,3,4
2023/4/14 5:20,1,20,1,3,0,3
2023/4/14 5:30,1,20,1,3,0,3
2023/4/14 5:40,1,20,1,2,0,2
2023/4/14 5:50,1,20,1,2,3,5
2023/4/14 6:00,1,20,1,2,4,6
2023/4/14 6:10,1,20,1,2,3,5
2023/4/14 6:20,1,20,1,8,4,12
2023/4/14 6:30,1,20,1,8,2,10
2023/4/14 6:40,1,20,1,15,0,15
2023/4/14 6:50,1,20,1,39,2,41
2023/4/14 7:00,1,20,1,57,4,61
2023/4/14 7:10,1,20,1,77,3,80
2023/4/14 7:20,1,21,1,111,2,113
2023/4/14 7:30,1,21,1,345,3,348
2023/4/14 7:40,1,21,1,664,2,666
2023/4/14 7:50,1,21,1,581,5,586
2023/4/14 8:00,1,21,1,283,5,288
2023/4/14 8:10,1,21,1,118,9,127
2023/4/14 8:20,1,21,1,102,9,111
2023/4/14 8:30,1,21,1,69,13,82
2023/4/14 8:40,1,21,1,97,13,110
2023/4/14 8:50,1,21,1,65,14,79
2023/4/14 9:00,1,21,1,92,18,110
2023/4/14 9:10,1,21,1,95,20,115
2023/4/14 9:20,1,21,1,135,34,169
2023/4/14 9:30,1,22,1,230,42,272
2023/4/14 9:40,1,22,1,289,152,441
2023/4/14 9:50,1,22,1,187,214,401
2023/4/14 10:00,1,22,1,142,181,323
2023/4/14 10:10,1,22,1,91,100,191
2023/4/14 10:20,1,22,1,69,66,135
2023/4/14 10:30,1,22,1,65,52,117
2023/4/14 10:40,1,22,1,60,49,109
2023/4/14 10:50,1,22,1,64,40,104
2023/4/14 11:00,1,22,1,55,39,94
2023/4/14 11:10,1,22,1,72,36,108
2023/4/14 11:20,1,22,1,69,42,111
2023/4/14 11:30,1,22,1,60,64,124
2023/4/14 11:40,1,22,1,64,273,337
2023/4/14 11:50,1,22,1,80,235,315
2023/4/14 12:00,1,22,1,52,261,313
2023/4/14 12:10,1,23,1,53,172,225
2023/4/14 12:20,1,23,1,71,142,213
2023/4/14 12:30,1,23,1,72,103,175
2023/4/14 12:40,1,23,1,68,68,136
2023/4/14 12:50,1,23,1,58,49,107
2023/4/14 13:00,1,23,1,65,32,97
2023/4/14 13:10,1,23,1,54,28,82
2023/4/14 13:20,1,23,1,78,31,109
2023/4/14 13:30,1,23,1,180,34,214
2023/4/14 13:40,1,24,1,265,39,304
2023/4/14 13:50,1,24,1,200,37,237
2023/4/14 14:00,1,24,1,123,26,149
2023/4/14 14:10,1,24,1,121,41,162
2023/4/14 14:20,1,24,1,103,43,146
2023/4/14 14:30,1,24,1,105,42,147
2023/4/14 14:40,1,24,1,67,37,104
2023/4/14 14:50,1,24,1,63,40,103
2023/4/14 15:00,1,24,1,83,43,126
2023/4/14 15:10,1,24,1,82,44,126
2023/4/14 15:20,1,24,1,90,45,135
2023/4/14 15:30,1,24,1,74,55,129
2023/4/14 15:40,1,24,1,131,155,286
2023/4/14 15:50,1,24,1,177,253,430
2023/4/14 16:00,1,24,1,127,176,303
2023/4/14 16:10,1,24,1,85,102,187
2023/4/14 16:20,1,24,1,64,70,134
2023/4/14 16:30,1,24,1,70,83,153
2023/4/14 16:40,1,24,1,79,68,147
2023/4/14 16:50,1,24,1,75,51,126
2023/4/14 17:00,1,24,1,91,70,161
2023/4/14 17:10,1,24,1,67,59,126
2023/4/14 17:20,1,24,1,90,59,149
2023/4/14 17:30,1,24,1,95,76,171
2023/4/14 17:40,1,24,1,102,240,342
2023/4/14 17:50,1,23,1,87,303,390
2023/4/14 18:00,1,23,1,110,217,327
2023/4/14 18:10,1,23,1,90,169,259
2023/4/14 18:20,1,23,1,103,91,194
