mon,day,hour,min,weather,tem,weekday,dor,teab,cnt
2,1,0,0,1,21,1,3,2,5
2,1,0,10,1,21,1,4,2,6
2,1,0,20,1,21,1,2,2,4
2,1,0,30,1,21,1,0,2,2
2,1,0,40,1,21,1,2,0,2
2,1,0,50,1,21,1,1,2,3
2,1,1,0,1,21,1,1,2,3
2,1,1,10,1,21,1,2,0,2
2,1,1,20,1,21,1,0,2,2
2,1,1,30,1,21,1,2,1,3
2,1,1,40,1,21,1,2,0,2
2,1,1,50,1,21,1,2,1,3
2,1,2,0,1,21,1,2,0,2
2,1,2,10,1,21,1,2,1,3
2,1,2,20,1,21,1,2,1,3
2,1,2,30,1,21,1,2,2,4
2,1,2,40,1,21,1,0,2,2
2,1,2,50,1,20,1,2,1,3
2,1,3,0,1,20,1,1,0,1
2,1,3,10,1,20,1,1,2,3
2,1,3,20,1,20,1,0,2,2
2,1,3,30,1,20,1,1,1,2
2,1,3,40,1,20,1,2,1,3
2,1,3,50,1,20,1,2,1,3
2,1,4,0,1,20,1,1,1,2
2,1,4,10,1,20,1,2,2,4
2,1,4,20,1,20,1,2,2,4
2,1,4,30,1,20,1,1,1,2
2,1,4,40,1,21,1,2,0,2
2,1,4,50,1,21,1,1,1,2
2,1,5,0,1,21,1,1,2,3
2,1,5,10,1,21,1,1,0,1
2,1,5,20,1,21,1,1,0,1
2,1,5,30,1,21,1,1,2,3
2,1,5,40,1,21,1,1,0,1
2,1,5,50,1,22,1,3,1,4
2,1,6,0,1,22,1,2,4,6
2,1,6,10,1,22,1,3,1,4
2,1,6,20,1,22,1,4,3,7
2,1,6,30,1,22,1,7,4,11
2,1,6,40,1,22,1,13,2,15
2,1,6,50,1,22,1,33,2,35
2,1,7,0,1,22,1,65,4,69
2,1,7,10,1,23,1,98,1,99
2,1,7,20,1,23,1,116,1,117
2,1,7,30,1,23,1,303,2,305
2,1,7,40,1,23,1,626,4,630
2,1,7,50,1,23,1,536,5,541
2,1,8,0,1,23,1,317,5,322
2,1,8,10,1,23,1,142,9,151
2,1,8,20,1,23,1,99,10,109
2,1,8,30,1,24,1,91,11,102
2,1,8,40,1,24,1,70,12,82
2,1,8,50,1,24,1,71,14,85
2,1,9,0,1,24,1,84,14,98
2,1,9,10,1,24,1,82,18,100
2,1,9,20,1,24,1,151,29,180
2,1,9,30,1,24,1,239,48,287
2,1,9,40,1,24,1,239,127,366
2,1,9,50,1,24,1,181,167,348
2,1,10,0,1,24,1,118,162,280
2,1,10,10,1,25,1,78,106,184
2,1,10,20,1,25,1,83,77,160
2,1,10,30,1,25,1,61,51,112
2,1,10,40,1,25,1,62,46,108
2,1,10,50,1,25,1,70,38,108
2,1,11,0,1,25,1,68,38,106
2,1,11,10,1,25,1,68,37,105
2,1,11,20,1,25,1,62,50,112
2,1,11,30,1,26,1,76,71,147
2,1,11,40,1,26,1,72,220,292
2,1,11,50,1,26,1,64,248,312
2,1,12,0,1,26,1,55,230,285
2,1,12,10,1,26,1,56,159,215
2,1,12,20,1,26,1,63,123,186
2,1,12,30,1,27,1,62,83,145
2,1,12,40,1,27,1,63,59,122
2,1,12,50,1,27,1,52,45,97
