Week,Beginning,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
21,2030/5/23,0,0,0,6468,6510,6485,6449,25912
22,2030/5/27,6499,6419,6526,6485,6552,6459,6383,45323
23,2030/6/3,6435,6457,6471,6456,6447,6479,6470,45215
24,2030/6/10,6477,6469,6557,6447,6555,6471,6471,45447
25,2030/6/17,6450,6452,6455,6507,6505,7590,6499,46458
26,2030/6/24,6500,6502,6500,6499,6496,6499,5500,44496
27,2030/7/1,6503,6503,6501,6500,6500,6500,6500,45507
28,2030/7/8,6500,6500,6498,6499,6496,6499,6497,45489
29,2030/7/15,5678,7653,5423,7821,6651,7721,7654,48601
30,2030/7/22,6497,6497,6497,6526,6469,6497,7623,46606
31,2030/7/29,6340,7498,6503,5991,7831,5983,6497,46643
32,2030/8/5,6497,6497,6497,6497,6507,6499,6498,45492
33,2030/8/12,6497,6497,6503,6498,6497,7206,6500,46198
34,2030/8/19,7498,5498,7498,7206,5991,6498,6491,46680
35,2030/8/26,6498,6340,6498,6590,6561,0,0,32487
