Week,Beginning,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Total
21,2030/5/23,0,0,0,7126,6330,7437,6252,27145
22,2030/5/27,7082,6510,6831,6955,6957,6166,6897,47398
23,2030/6/3,7459,7482,6805,6747,6686,7297,7363,49839
24,2030/6/10,6860,6087,6385,6856,6957,6387,6091,45623
25,2030/6/17,7294,7396,7215,6474,6562,6600,7390,48931
26,2030/6/24,7130,7123,6955,7082,7267,6315,6955,48827
27,2030/7/1,7095,6871,6276,6510,6831,6013,7478,47074
28,2030/7/8,7044,6130,7184,7499,7154,6241,7451,48703
29,2030/7/15,6121,7332,6459,6699,6646,6776,6508,46541
30,2030/7/22,6466,6769,7337,6975,6020,7369,6775,47711
31,2030/7/29,7238,6343,6021,6189,6840,6564,6034,45229
32,2030/8/5,7044,6130,7184,7499,6121,7332,6459,47769
33,2030/8/12,6021,6189,6840,7154,6241,7459,7482,47386
34,2030/8/19,6466,6769,7337,6860,6087,6385,7082,46986
35,2030/8/26,6860,6871,6840,6957,7482,0,0,35010
